x,y,z
0.101312,3.437328,-2.446813
0.105037,3.440779,-2.459895
0.074472,3.518841,-2.433633
0.074775,3.539718,-2.468352
0.071719,3.497777,-2.408420
0.052141,3.457446,-2.392468
0.074159,3.458549,-2.397413
0.087012,3.422270,-2.383132
0.074462,3.456047,-2.361697
0.076524,3.475025,-2.363726
0.066697,3.494365,-2.338265
0.042195,3.521606,-2.336999
0.038807,3.521276,-2.364795
0.044855,3.505235,-2.369590
0.018805,3.507929,-2.323979
-0.004132,3.500700,-2.374778
-0.019474,3.536663,-2.381867
-0.046979,3.528960,-2.420673
-0.040546,3.439886,-2.433000
-0.050568,3.474404,-2.439598
-0.065724,3.450972,-2.432959
-0.058851,3.411930,-2.424016
-0.030649,3.384723,-2.370720
-0.034643,3.348764,-2.343629
-0.065529,3.402080,-2.331326
-0.044716,3.415395,-2.406100
-0.039871,3.410531,-2.408557
-0.042197,3.424273,-2.398819
-0.042474,3.434779,-2.401244
-0.042899,3.399195,-2.282056
-0.055302,3.428196,-2.111548
-0.042841,3.370252,-2.107311
-0.032060,3.390995,-2.061373
-0.038649,3.340647,-2.173466
-0.062653,3.365212,-2.192161
-0.030725,3.332273,-2.114738
-0.020231,3.333884,-2.051028
-0.044558,3.381541,-2.038151
-0.048200,3.390589,-2.032114
-0.065992,3.383907,-2.080887
-0.073415,3.364290,-2.141181
-0.065421,3.349627,-2.180677
-0.064448,3.348605,-2.226416
-0.086566,3.398834,-2.234276
-0.120056,3.398635,-2.268850
-0.138103,3.383972,-2.135998
-0.148825,3.418642,-2.135220
-0.139209,3.443255,-2.148093
-0.155147,3.436443,-2.214942
-0.180401,3.468511,-2.296971
-0.189111,3.448517,-2.303956
-0.233939,3.467177,-2.367552
-0.165483,3.484413,-2.098516
-0.177736,3.472791,-2.043433
-0.195058,3.475327,-2.075311
-0.219406,3.483483,-2.197580
-0.219133,3.508218,-2.177910
-0.244054,3.517776,-2.230836
-0.253451,3.537874,-2.228153
-0.264517,3.533893,-2.240410
-0.234567,3.520649,-2.212008
-0.248472,3.496185,-2.255474
-0.257456,3.468271,-2.334776
-0.282661,3.444576,-2.420503
-0.273985,3.452742,-2.389525
-0.293533,3.446121,-2.430366
-0.239303,3.450867,-2.296405
-0.246328,3.460512,-2.303787
-0.263120,3.452420,-2.355647
-0.287728,3.420860,-2.412675
-0.242921,3.469983,-2.274684
-0.286501,3.447162,-2.382302
-0.332965,3.432186,-2.471817
-0.424609,3.369774,-2.682688
-0.399142,3.389414,-2.631428
-0.401495,3.383108,-2.614304
-0.445276,3.355686,-2.703738
-0.432607,3.381829,-2.672788
-0.413727,3.384727,-2.636240
-0.443200,3.348930,-2.714056
-0.447952,3.359133,-2.710478
-0.474100,3.307123,-2.769119
-0.471703,3.296184,-2.782961
-0.472397,3.280038,-2.790639
-0.507907,3.224732,-2.871695
-0.503645,3.237117,-2.852923
-0.506785,3.189149,-2.900545
-0.487443,3.201713,-2.867837
-0.482160,3.206224,-2.848430
-0.464133,3.190429,-2.826416
-0.421339,3.286116,-2.729683
-0.414743,3.271188,-2.719545
-0.402617,3.268341,-2.694344
-0.432716,3.215780,-2.772203
-0.418505,3.227677,-2.709644
-0.416615,3.211491,-2.734792
-0.414658,3.214679,-2.736539
-0.402699,3.216547,-2.719890
-0.383539,3.243060,-2.703768
-0.353139,3.255561,-2.614722
-0.341424,3.274308,-2.602447
-0.344382,3.235766,-2.599480
