scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,prediction_error,z_redistributed,vx,vy,vz,vyaw,pose_uncertainty,velocity_uncertainty,innovation_x,innovation_y,innovation_z,innovation_yaw,innovation_magnitude
13,cloud000065.pcd,0.6474239989960925,0.0659668510441808,0.0,-0.12201464491506508,-6.9909241924206,0.5369815102839327,0.9489662014986561,True,0.0,0.0,0.0,0.0,0.0004967690946724309,40.0,0.9416645388395574,-0.11707681826092717,0.0,-0.009887694613487858,0.9489662014986561
14,cloud000070.pcd,0.7175460117354661,0.05479147955330993,0.0,-0.12155044304148768,-6.96432738422255,0.530366808005611,1.042493395317521,True,0.0,0.0,0.0,0.0,0.00046293213451051524,40.0,1.0294792675625524,-0.164068497290883,0.0,0.006815066854795895,1.042493395317521
15,cloud000075.pcd,0.789507551640214,0.0423088747629343,0.0,-0.12105742724179601,-6.93607965966695,0.5200811078684894,1.1642941969721547,True,0.0,0.0,0.0,0.0,0.00043389175141301953,40.0,1.1471373955112392,-0.19898494066943712,0.0,0.007859154503264687,1.1642941969721547
16,cloud000080.pcd,0.8533872704519114,0.0320622451897091,0.0,-0.11929186349200177,-6.834920308342448,0.5245026077629404,1.2112705674797706,True,0.0,0.0,0.0,0.0,0.0004107081250532826,40.0,1.1955370040552138,-0.19177017447036712,0.0,0.033043301303809926,1.2112705674797706
17,cloud000085.pcd,0.9319031416223788,0.020420680391099302,0.0,-0.1169406541615174,-6.700205936953914,0.5273003991124415,1.3233080981940095,True,0.0,0.0,0.0,0.0,0.00038606236063325444,40.0,1.3084238664247778,-0.19400028297413788,0.0,0.039181612037231035,1.3233080981940095
18,cloud000090.pcd,1.0061724454606478,0.009748810094643371,0.0,-0.11716670223342243,-6.713157537441142,0.5273663909579747,1.454784742605273,True,0.0,0.0,0.0,0.0,0.00036615068144471173,40.0,1.43998819021489,-0.2069141139099142,0.0,-0.004382787196616916,1.454784742605273
19,cloud000095.pcd,1.0801949863851528,-0.0004936734067548642,0.0,-0.11646543743544123,-6.672978024195725,0.5353121432258462,1.4701229234190416,True,0.0,0.0,0.0,0.0,0.0003475380595811507,40.0,1.4561840940489583,-0.20149188844390842,0.0,0.013795401127586827,1.4701229234190416
20,cloud000100.pcd,1.1541645805607974,-0.009578497172017048,0.0,-0.11614799764702805,-6.654790064070124,0.5216467428742958,1.5335840970610422,True,0.0,0.0,0.0,0.0,0.0003306490952469258,40.0,1.5221329628841755,-0.1869458643001751,0.0,0.006532218691472038,1.5335840970610422
21,cloud000105.pcd,1.2222119140614556,-0.016858501411364066,0.0,-0.11525516795992713,-6.603634691175255,0.5315742877373496,1.6000339039093034,True,0.0,0.0,0.0,0.0,0.00031650557547979296,40.0,1.5908196619655923,-0.17019291260008132,0.0,0.020872691815515057,1.6000339039093034
22,cloud000110.pcd,1.297918820110715,-0.02490295399624666,0.0,-0.11593953443707491,-6.64284600195606,0.5313446398329975,1.6723144663717715,True,0.0,0.0,0.0,0.0,0.0003020958908406856,40.0,1.6628856597029422,-0.17669464440744215,0.0,-0.015031960229492573,1.6723144663717715
23,cloud000115.pcd,1.367023154264207,-0.030276279502665402,0.0,-0.11672677300946013,-6.687951449623637,0.533298698845338,1.6678267150249544,True,0.0,0.0,0.0,0.0,0.0002895403295614002,40.0,1.6627002958875408,-0.12928610077593883,0.0,-0.018941529837065468,1.6678267150249544
24,cloud000120.pcd,1.436160748836137,-0.03630169392808201,0.0,-0.1180680190066151,-6.764799184549432,0.5293171522309037,1.6933626827305786,True,0.0,0.0,0.0,0.0,0.0002776717838744234,40.0,1.686653319375399,-0.14699361908907746,0.0,-0.03272050506250564,1.6933626827305786
