scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence
48,cloud000240.pcd,5.986725273086588,-0.04649383069507454,0.14708040327560895,-2.4849440541150214,-142.37680662691918,0.25872120265957116
49,cloud000245.pcd,6.098673038190846,0.02059884257707141,0.17048831293319744,-2.659476979314454,-152.37680662691918,0.25670269685903185
50,cloud000250.pcd,6.254181607970976,0.13412098765860153,0.21823668391833728,-2.4849440541150214,-142.37680662691918,0.2558964157643721
51,cloud000255.pcd,6.36142760789557,0.21772497939528945,0.24926918650510158,-2.659476979314454,-152.37680662691918,0.25687680068225766
52,cloud000260.pcd,6.481973295701977,0.26332642107148657,0.291453962047493,-2.4849440541150214,-142.37680662691918,0.257069089223431
53,cloud000265.pcd,6.642990037747389,0.31395004068978477,0.33634749596502506,-2.659476979314454,-152.37680662691918,0.25671042388866183
54,cloud000270.pcd,6.740091791600252,0.39816877284050833,0.34956652021096646,-2.4849440541150214,-142.37680662691918,0.2574371565479768
55,cloud000275.pcd,6.8524786956893085,0.42808445065777356,0.37421213446905494,-2.659476979314454,-152.37680662691918,0.25705388763832404
56,cloud000280.pcd,6.882884336930478,0.41590188638208186,0.3563771065255098,-2.4849440541150214,-142.37680662691918,0.25815931308080986
57,cloud000285.pcd,6.898063086433339,0.4368812236379089,0.3643671669161504,-2.659476979314454,-152.37680662691918,0.2580857881197777
58,cloud000290.pcd,6.873649838478558,0.4194078894216622,0.36121328887660703,-2.4849440541150214,-142.37680662691918,0.2597769498728109
59,cloud000295.pcd,6.865493038430031,0.43838538214983047,0.3407715146652304,-2.659476979314454,-152.37680662691918,0.25895145863794566
60,cloud000300.pcd,6.903544023577642,0.43039884210909884,0.32363224117413736,-2.834009904513887,-162.37680662691915,0.2570377841717531
61,cloud000305.pcd,6.8400268803143485,0.4101422957606847,0.42368548499087877,-2.659476979314454,-152.37680662691918,0.25816408352103065
62,cloud000310.pcd,6.776262539795685,0.3801881775755037,0.34162831353600875,-2.4849440541150214,-142.37680662691918,0.26141969900507883
63,cloud000315.pcd,6.726158476997883,0.413798179944446,0.3397573308499869,-2.659476979314454,-152.37680662691918,0.2598354601017213
64,cloud000320.pcd,6.733064311360479,0.39967150549584557,0.3245605253796601,-2.4849440541150214,-142.37680662691918,0.25970550242754614
65,cloud000325.pcd,6.76950039098605,0.3984668045877886,0.3290534793515008,-2.659476979314454,-152.37680662691918,0.2607679208894373
66,cloud000330.pcd,6.821425500129909,0.410244682709423,0.3754808925213888,-2.834009904513887,-162.37680662691915,0.2583248576098277
67,cloud000335.pcd,6.82073756252156,0.43788454788594594,0.36969899611387885,-2.659476979314454,-152.37680662691918,0.2616968675643513
68,cloud000340.pcd,6.817527453935116,0.439953787595724,0.3730193299264121,-2.4849440541150214,-142.37680662691918,0.26006442344714087
69,cloud000345.pcd,6.819156563252284,0.43654629430322467,0.40027808378677865,-2.3104111289155886,-132.37680662691918,0.2613751330562449
70,cloud000350.pcd,6.844772954505124,0.45946551752644677,0.37938150411956084,-2.135878203716156,-122.37680662691919,0.26025630467149924
71,cloud000355.pcd,6.79054656664074,0.48101257308321194,0.3880585799058363,-1.961345278516723,-112.37680662691919,0.2591184692220146
72,cloud000360.pcd,6.76961518172551,0.51920069134246,0.4291669193056733,-1.78681235331729,-102.37680662691919,0.25938530181186403
73,cloud000365.pcd,6.775054667051821,0.5246938051690637,0.4355984378030405,-1.612279428117857,-92.37680662691919,0.2569393987892417
74,cloud000370.pcd,6.796716314812641,0.5395983321598212,0.42059662979368234,-1.437746502918424,-82.37680662691919,0.254048610343424
75,cloud000375.pcd,6.8069548238251505,0.518969381379789,0.37682544446499533,-1.263213577718991,-72.37680662691919,0.2556805341130212
76,cloud000380.pcd,6.840033417828962,0.5145235306931027,0.3542240298736502,-1.088680652519558,-62.37680662691919,0.2594091862198159
77,cloud000385.pcd,6.81028096090827,0.5416181006975668,0.3625075697103321,-0.9141477273201251,-52.37680662691919,0.25837717666990384
78,cloud000390.pcd,6.8176890838091495,0.5578012452309752,0.36826420522126735,-0.739614802120692,-42.376806626919176,0.2552742810850529
79,cloud000395.pcd,6.8269490378049005,0.5764521420179758,0.35702265320445586,-0.5650818769212589,-32.37680662691917,0.2566747899897554
80,cloud000400.pcd,6.766350303597529,0.5994394615648762,0.37499673253447957,-0.390548951721826,-22.376806626919176,0.25903492371290976
81,cloud000405.pcd,6.761742366729374,0.6224305816315028,0.40175714449684136,-0.21601602652239313,-12.37680662691918,0.26014974449093736
82,cloud000410.pcd,6.720628112510078,0.6505352941840881,0.40473178773126045,-0.04148310132296017,-2.3768066269191794,0.2587323640426183
83,cloud000415.pcd,6.736902847843765,0.5563780520003223,0.3913408702077808,0.13304982387647282,7.623193373080823,0.259476720415551
84,cloud000420.pcd,6.740725742742216,0.5942190120921835,0.4094309968597843,0.3075827490759058,17.623193373080827,0.2611441563683762
85,cloud000425.pcd,6.701328511002793,0.5853994443820831,0.4119882916676715,0.4821156742753388,27.623193373080827,0.2611915538663058
86,cloud000430.pcd,6.691472425497617,0.6113815566413539,0.39369408178762116,0.30758274907590594,17.62319337308083,0.25721563123853375
87,cloud000435.pcd,6.707228781079997,0.6424756324373068,0.3814744457104933,0.48211567427533897,27.623193373080838,0.2586485887035577
88,cloud000440.pcd,6.677770828998523,0.6300121351765876,0.3699800130142643,0.6566485994747718,37.62319337308083,0.2578357358335178
89,cloud000445.pcd,6.649082499400034,0.6113630686629946,0.3981229468651844,0.8311815246742047,47.623193373080824,0.25849542572781087
90,cloud000450.pcd,6.542125451910784,0.5105513823466505,0.35950434893006183,0.6566485994747715,37.62319337308081,0.2569508880871202
91,cloud000455.pcd,6.461004369225098,0.39210264086301283,0.2707171716308203,0.8311815246742044,47.62319337308081,0.25772117207637285
92,cloud000460.pcd,6.358050612803772,0.3002257437057977,0.22174449454063083,0.6566485994747713,37.6231933730808,0.2567217140653842
93,cloud000465.pcd,6.239713321886978,0.18417365987860423,0.159206163655569,0.8311815246742043,47.6231933730808,0.2580947616505645
94,cloud000470.pcd,6.154493922108838,0.07921056952080266,0.07483280152074019,0.6566485994747712,37.623193373080795,0.25880313469016525
95,cloud000475.pcd,6.078942479555926,0.024704340753791056,0.0564114531065984,0.831181524674204,47.62319337308079,0.2584527562244849
96,cloud000480.pcd,6.070860441140823,0.014321764506174534,0.044253882079815274,0.6566485994747709,37.62319337308078,0.2582343851580578
97,cloud000485.pcd,6.083477186448326,-0.004344253242270786,0.027718601515234118,0.48211567427533814,27.623193373080788,0.26117344742352755
98,cloud000490.pcd,6.092230617866185,-0.019980141736148656,0.03314484748078972,0.30758274907590527,17.623193373080795,0.259147810825105
99,cloud000495.pcd,6.0668521414079155,-0.0360144521300528,0.028080125666770647,0.13304982387647232,7.623193373080794,0.2602022338031876
100,cloud000500.pcd,6.041443008781599,0.021858869371447244,0.0438115040819569,-0.04148310132296062,-2.376806626919205,0.25642525646922704
101,cloud000505.pcd,5.90411742870381,0.010457761751341844,0.02676116616028197,-0.21601602652239357,-12.376806626919205,0.2586473460201894
102,cloud000510.pcd,5.794498681633524,0.031067537925430704,0.007675371770388947,-0.04148310132296062,-2.376806626919205,0.2538007720668661
103,cloud000515.pcd,5.805116612930206,0.06817508356132587,0.030631822287286486,0.13304982387647232,7.623193373080794,0.2586053901704913
104,cloud000520.pcd,5.7919053458170735,0.061192039745845514,0.02912897367242305,0.3075827490759053,17.6231933730808,0.25858906061599835
105,cloud000525.pcd,5.7846679169197595,0.06154297247901439,0.005509238853777427,0.48211567427533836,27.623193373080802,0.2580763363127609
